WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;301;302;303;304;305;306;307;308
3;5;9;Heinrich, Reinhard;12;9;1.999;455;41;23;49;56;160;37;1.544;89
3;5;10;Kraus, Ulrich;11;10;1.495;1.495;52;1.023;55;77;115;95;33;45
3;5;11;Burger-Sippl, Silvia;4;11;1.457;1.457;57;23;1.060;65;135;41;15;61
3;5;12;Taubmann, Kilian;10;12;1.198;1.198;802;22;61;59;128;47;31;48
3;5;13;Behrendt, Joachim;8;13;1.085;1.085;147;42;50;61;89;66;63;567
3;5;14;Kremser, Reinhard;6;14;759;759;45;36;143;249;184;40;18;44
3;5;15;Hubmann, Alexander;16;15;707;707;101;14;53;38;59;23;283;136
3;5;16;Wilka, Mathilde;14;16;522;522;29;42;17;34;59;230;10;101
3;6;1;Brey, Marius Josef;1;1;5.919;4.301;736;1.618;445;522;1.180;763;294;361
3;6;2;Maxim, Ursula;2;2;5.554;3.227;305;604;326;2.327;1.224;445;150;173
3;6;3;Spieß, Richard;13;3;5.380;878;105;65;94;408;4.502;85;61;60
3;6;4;Kappl, Eva;3;4;3.768;1.296;232;215;105;221;321;2.472;79;123
3;6;5;Berndt, Wolfgang;6;5;2.941;219;2.722;17;32;39;53;38;16;24
3;6;6;Emmerling, Tobias;8;6;2.628;619;58;41;2.009;130;290;58;20;22
3;6;7;Zant, Ali Daniel;4;7;2.552;824;111;34;41;62;132;59;385;1.728
3;6;8;Weidner, Christian;12;8;2.300;876;90;17;21;22;34;41;1.424;651
3;6;9;Hundt, Sarah;16;9;1.031;1.031;90;63;64;142;395;179;56;42
3;6;10;Decker, Marian;15;10;843;843;58;35;47;199;399;57;28;20
3;6;11;Schmidt, Philipp;10;11;784;784;54;23;574;27;39;26;15;26
3;6;12;Schienhammer, Nadine;5;12;740;740;289;14;104;54;94;47;111;27
3;6;13;Schwarz, Jan;9;13;506;506;53;26;63;85;151;55;26;47
3;6;14;Sivan, Martina;7;14;456;456;52;68;20;54;101;80;29;52
3;6;15;Oberthür, Christian;14;15;390;390;32;110;27;51;77;58;17;18
3;6;16;Fleisser, Karl;11;16;369;369;42;39;15;34;44;136;22;37
3;7;1;Suttner, Werner;1;1;3.852;2.706;309;272;367;801;1.146;382;363;212
3;7;2;Schmieder, Maximilian;3;2;3.789;2.298;336;137;302;158;161;387;1.491;817
3;7;3;Ringelmann, Petra;2;3;2.832;1.791;61;983;67;76;256;145;203;1.041
3;7;4;Weber, Alexander;8;4;2.351;285;46;23;32;72;34;2.066;51;27
3;7;5;Mrozek, Markus;5;5;2.310;385;1.925;15;91;14;23;87;110;45
3;7;6;Schweikl, Alexander;6;6;2.103;274;34;1.829;54;42;32;47;44;21
3;7;7;Smolevska, Natalie;4;7;1.934;192;26;8;17;1.742;92;14;21;14
3;7;8;Koll-Pfeifer, Alexander;7;8;1.851;369;75;49;1.482;32;26;56;90;41
3;7;9;Weinfurtner, Markus;11;9;942;942;37;589;48;45;28;142;33;20
3;7;10;Bachmann, Peter;14;10;666;666;530;5;20;11;8;57;18;17
3;7;11;Eberhardt, Peter;12;11;665;665;22;7;15;47;13;513;41;7
3;7;12;Karl, Gerhard;16;12;626;626;29;19;105;120;218;49;64;22
3;7;13;Schindler, Thomas;10;13;529;529;22;23;34;260;103;40;25;22
3;7;14;Oel, Berthold;13;14;442;442;25;7;107;210;24;32;25;12
3;7;15;Lang, Magdalena;15;15;378;378;25;20;34;143;64;34;34;24
3;7;16;Prensky, Michael;9;16;340;340;201;6;32;22;10;46;18;5
3;8;1;Mrasek, Klaus;1;1;3.886;1.999;1.887;159;359;280;447;397;140;217
3;8;2;Suttner, Benedikt;4;2;3.029;943;85;82;84;478;2.086;118;34;62
3;8;3;Kindl, Dr. Barbara;2;3;2.778;1.574;416;88;118;148;264;388;152;1.204
3;8;4;Mauch, Dr. Thomas;5;4;2.180;370;26;10;29;1.810;239;40;3;23
3;8;5;Damm, Alfred;3;5;2.006;91;33;9;8;10;10;1.915;5;16
3;8;6;Neumeyer, Joseph;7;6;1.402;161;23;12;1.241;28;53;25;5;15
3;8;7;Kunz, Theresia;6;7;1.253;469;71;21;52;64;96;56;784;109
3;8;8;Badura, Franz;11;8;1.194;1.194;1.002;13;37;25;53;33;12;19
3;8;9;Eckl, Heidi;10;9;918;918;42;14;15;19;37;740;12;39
3;8;10;Meissner, Ruth;8;10;844;71;14;773;4;10;17;14;6;6
3;8;11;Wiest, Claudia;9;11;695;695;11;34;15;437;151;28;7;12
3;8;12;Schönfelder-Hans, Monika;15;12;578;578;49;9;476;6;21;9;4;4
3;8;13;Eberhardt, Hannes;13;13;563;563;3;3;10;44;480;14;5;4
3;8;14;Scheingraber, Dr. Stefan;14;14;558;558;14;440;12;18;17;35;9;13
