WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;7;18;Brennfleck;Gertrud;19;18;63;63;3;5;1;4;22;6;3;5;10;4
6;7;19;Schneider;Anette;16;19;53;53;1;2;3;7;25;1;2;2;9;1
6;8;1;Schmitt;Bernhard;1;1;2127;2127;371;664;125;166;103;110;195;130;133;130
6;8;2;Albert;Klemens;13;2;1222;60;2;7;6;1162;4;6;3;9;8;15
6;8;3;Binder;Raimund;2;3;1111;1111;11;17;40;44;64;64;24;66;290;491
6;8;4;Reinhard;Michaela;3;4;894;192;10;9;702;45;16;13;8;40;21;30
6;8;5;Paulus-Hildner;Silvia;5;5;825;122;4;9;19;21;703;11;6;15;22;15
6;8;6;Lang;Rudolf;10;6;794;71;38;723;3;3;4;1;20;0;1;1
6;8;7;Winter;Wolfgang;8;7;779;53;5;24;4;6;3;1;726;1;6;3
6;8;8;Welzenbach;Patricia;11;8;759;94;0;1;7;10;4;17;5;6;665;44
6;8;9;Peeters;Walther;17;9;725;142;583;63;9;7;4;5;26;13;9;6
6;8;10;Bretscher;Stefan;15;10;716;112;5;9;17;39;11;7;0;604;9;15
6;8;11;Bodisco von;Wolf;7;11;666;50;1;1;11;5;1;5;3;2;21;616
6;8;12;May;Dietmar;6;12;598;598;19;14;100;260;36;23;27;42;45;32
6;8;13;Pröstler;Herbert;19;13;486;128;6;3;10;11;29;358;10;18;23;18
6;8;14;Wagenhäuser;Esther;14;14;387;387;12;14;29;128;53;21;6;75;23;26
6;8;15;Tröge;Bianca;9;15;312;312;6;3;12;7;249;5;7;6;12;5
6;8;16;Dorsch;Patrik;4;16;233;233;3;7;126;12;8;29;1;21;15;11
6;8;17;Bauer;Katrin;16;17;227;227;57;63;17;10;4;8;43;9;6;10
6;8;18;Krommer;Marianne;12;18;191;191;4;6;8;7;5;9;117;14;10;11
6;8;19;Friedrich;Benno;18;19;105;105;22;37;4;2;5;8;17;1;2;7
6;9;1;Lukas;Mirco;2;1;1670;1210;102;116;71;112;115;460;109;125;173;287
6;9;2;Kindermann;Michael;1;2;1337;921;69;101;64;136;87;114;96;122;132;416
6;9;3;Winkler;Maximilian;5;3;492;492;36;33;24;36;40;60;26;35;70;132
6;9;4;Wildenauer;Benjamin;3;4;426;426;12;17;274;31;5;28;8;18;11;22
6;9;5;Finke;Wolfgang;4;5;421;421;38;50;10;19;19;160;36;22;24;43
6;10;1;Thüngen Freifrau von;Christiane;1;1;2158;1214;52;33;944;186;77;375;64;147;177;103
6;10;2;Konrad;Dr. Herbert;2;2;1950;643;29;16;168;95;52;81;31;83;1.307;88
6;10;3;Fischer;Horst;3;3;1811;403;9;20;133;1408;26;69;16;43;69;18
6;10;4;Hubrich;Joachim;14;4;1316;55;10;6;3;8;1;1.261;4;1;17;5
6;10;5;Thüngen Freifrau von;Nadja;7;5;698;698;33;18;133;64;28;193;26;59;110;34
6;10;6;Weber;Franz;4;6;593;248;345;1;50;154;4;1;5;20;8;5
6;10;7;Tartsch;Detlef;9;7;592;64;2;4;6;30;9;2;1;528;7;3
6;10;8;Metz;Christian;11;8;537;537;6;4;385;64;10;15;3;23;24;3
6;10;9;Thüngen Freiherr von;James Eric;8;9;389;389;24;10;73;23;18;94;17;34;73;23
6;10;10;Steinbauer;Kurt;19;10;238;238;10;6;10;13;8;140;8;7;25;11
6;10;11;Wagner;Peter;6;11;220;220;7;6;15;39;14;20;6;27;56;30
6;10;12;Leist;Roslyn;13;12;203;203;14;4;8;35;16;17;6;20;44;39
6;10;13;Müller;Gabriele;10;13;183;183;14;4;9;26;7;53;8;24;28;10
6;10;14;Wagner-Blind;Mechthild;5;14;182;182;14;4;10;23;15;38;9;15;33;21
6;10;15;Dürbeck;Matthias;17;15;177;177;89;14;4;14;3;24;13;9;5;2
6;10;16;Hemmelmann;Ewald;15;16;163;163;4;1;5;8;4;90;2;14;26;9
6;10;17;Fuchs;Siegbert;16;17;152;152;8;1;8;18;12;11;6;11;72;5
6;10;18;Mauser;Ursula;12;18;103;103;6;4;7;12;17;8;1;11;36;1
6;10;19;Battiany-Fuchs;Renate;18;19;58;58;4;2;4;8;7;5;1;2;16;9
6;11;1;Graupner;Richard;2;1;34274;24655;2073;1768;3556;4465;4192;2.462;1.879;9.619;2.276;1.984
6;11;2;Klingen;Christian;1;2;25363;19035;1646;1486;1794;2314;6328;1.923;1.839;3.990;2.362;1.681
6;11;3;Junker;Klaus Uwe;10;3;12204;5246;6958;2896;162;200;114;329;962;287;203;93
6;11;4;Geßner;Patrick;7;4;11501;2953;67;45;1166;8548;51;75;59;1.330;82;78
6;11;5;Peter;Martin;5;5;10862;5739;381;289;244;255;432;1.140;502;874;1.622;5.123
