id;jahr;vorname;name;partei
1820311;2018;Gerhild;Maiwald;1303
1820312;2018;Helmut;Fichtner;1303
1820313;2018;Stefanie;Fischer;1303
1820314;2018;Annette;Walter-Kilian;1303
1820315;2018;Georg;Bauer;1303
1820316;2018;Jakob;Hirmer;1303
1820317;2018;Herbert;Daiberl;1303
1820318;2018;Helmut;Schneemayer;1303
1820401;2018;Rosi;Steinberger;1304
1820402;2018;Toni;Schuberl;1304
1820403;2018;Marlene;Schönberger;1304
1820404;2018;Matthias;Weigl;1304
1820405;2018;Sigi;Hagl;1304
1820406;2018;Jens;Schlüter;1304
1820407;2018;Feride;Niedermeier;1304
1820408;2018;Christian;Heilmann;1304
1820409;2018;Daniel;Stephan;1304
1820410;2018;Günther;Reiser;1304
1820411;2018;Eike;Hallitzky;1304
1820412;2018;Richard;Zieglmeier;1304
1820413;2018;Sabine;Lindner;1304
1820414;2018;Matthias;Ernst;1304
1820415;2018;Wolfgang;Schwimmer;1304
1820416;2018;Lorenz;Rabanter;1304
1820417;2018;Maria;Kalin;1304
1820418;2018;Antje;Laux;1304
1820501;2018;Alexander;Muthmann;1305
1820502;2018;Norbert;Hoffmann;1305
1820503;2018;Josefa;Schmid;1305
1820504;2018;Andreas;Dittlmann;1305
1820505;2018;Marco Thomas;Altinger;1305
1820506;2018;Jake;Curtis;1305
1820507;2018;Bettina;Illein;1305
1820508;2018;Dominik;Heuwieser;1305
1820509;2018;Kenneth;Kooter;1305
1820510;2018;Franz;Egerer;1305
1820511;2018;Carmen;Brücher;1305
1820512;2018;Ernst;Binner;1305
1820513;2018;Anna;Däullary;1305
1820514;2018;Claus;Rothlehner;1305
1820515;2018;Ulrich;Falk;1305
1820516;2018;Karl;Hauser;1305
1820517;2018;Jörg;Heimbeck;1305
1820518;2018;Florian Christopher;Fleming;1305
1820601;2018;Josef;Ilsanker;1306
1820602;2018;Karl Heinz;Ringlstetter;1306
1820603;2018;Aleksandra;Freinecker;1306
1820604;2018;Johannes;Spielbauer;1306
1820605;2018;Stefan;Hemmann;1306
1820606;2018;Christina;Süß;1306
1820607;2018;Johannes;Hagnauer;1306
1820608;2018;Wolfgang;Reddies;1306
1820609;2018;Mirco;Kalkkuhl;1306
1820610;2018;Johannes;Freinecker;1306
1820611;2018;Susanne;Fischer;1306
1820612;2018;Markus;Jocham;1306
1820613;2018;Marco;Stöger;1306
1820614;2018;Gottfried;Beicht;1306
1820615;2018;Joseph;Schanzer;1306
1820616;2018;Dennis;Neubert;1306
1820617;2018;Udo;Fischer;1306
1820701;2018;Franz;Maier;1307
1820702;2018;Fritz;Zirngibl;1307
1820703;2018;Thomas;Pfeffer;1307
1820704;2018;Anton;Maller;1307
1820705;2018;Florian;Geisenfelder;1307
1820706;2018;Hans-Jürgen;Müller;1307
1820707;2018;Manuel Georg;Schindlbeck;1307
1820708;2018;Robert;Neuhauser;1307
1820709;2018;Hans;Kapfer;1307
1820710;2018;Kai-Uwe;Hafer;1307
1820711;2018;Matthias;Prade;1307
1820712;2018;Maximilian;Rechenmacher;1307
1820713;2018;Robert;Manz;1307
1820714;2018;Gerhard;Schweiberger;1307
1820715;2018;Florian;Thurmeier;1307
1820716;2018;Thomas;Heilmeier;1307
1820717;2018;Peter;Frömel;1307
1820718;2018;Stefan;Kaunzinger;1307
1820801;2018;Agnes;Becker;1308
1820802;2018;Bernhard;Suttner;1308
1820803;2018;Walter;Dankesreiter;1308
1820804;2018;Urban;Mangold;1308
1820805;2018;Edith;Lirsch;1308
1820806;2018;Klaus;Seufzger;1308
1820807;2018;Elisabeth;Weindl;1308
1820808;2018;Anne;Rottengruber;1308
1820809;2018;Marie-Sophie;Vogel;1308
1820810;2018;Alois;Aigner;1308
1820811;2018;Michael;Köberl;1308
1820812;2018;Christian;Kerschl;1308
1820813;2018;Josef;Gold;1308
1820814;2018;Annette;Setzensack;1308
1820815;2018;Lorenz;Heilmeier;1308
1820816;2018;Günther;Iglhaut;1308
1820817;2018;Ingrid;Ohly;1308
1820818;2018;Rudolf;Neuhierl;1308
1820901;2018;Mario;Filakovic;1309
1821101;2018;Katrin;Ebner-Steiner;1311
1821102;2018;Josef;Seidl;1311
1821103;2018;Ralf;Stadler;1311
1821104;2018;Oskar;Atzinger;1311
1821105;2018;Johann;Müller;1311
1821106;2018;Günter;Straßberger;1311
1821107;2018;Wolfgang;Hansbauer;1311
1821108;2018;Manfred;Kleinschwärzer;1311
1821109;2018;Peter A.;Gebhardt;1311
1821110;2018;Simon;Bucher;1311
1821111;2018;Werner;Kriegl;1311
1821112;2018;Gertraud;Sicker;1311
1821113;2018;Andreas;Meißner;1311
1821114;2018;Hedwig;Welsch-Ficklscherer;1311
1821301;2018;Maximilian;Geisel;1313
1821302;2018;Fabian;Helmich;1313
1821303;2018;Johann;Feirer;1313
1821304;2018;Annegret;Rau;1313
1821305;2018;Helga;Feirer;1313
1821306;2018;Anna;Pollner;1313
