jahr;stimmen;stimmkreis;kandidat;partei
2018;58;511;1850313;1303
2018;2859;512;1850313;1303
2018;92;501;1850314;1303
2018;63;502;1850314;1303
2018;35;503;1850314;1303
2018;31;504;1850314;1303
2018;249;505;1850314;1303
2018;253;506;1850314;1303
2018;451;507;1850314;1303
2018;833;508;1850314;1303
2018;109;509;1850314;1303
2018;436;510;1850314;1303
2018;162;511;1850314;1303
2018;144;512;1850314;1303
2018;147;501;1850315;1303
2018;136;502;1850315;1303
2018;91;503;1850315;1303
2018;91;504;1850315;1303
2018;109;505;1850315;1303
2018;126;506;1850315;1303
2018;117;507;1850315;1303
2018;83;508;1850315;1303
2018;826;509;1850315;1303
2018;455;510;1850315;1303
2018;134;511;1850315;1303
2018;109;512;1850315;1303
2018;42;501;1850316;1303
2018;29;502;1850316;1303
2018;21;503;1850316;1303
2018;24;504;1850316;1303
2018;1450;505;1850316;1303
2018;372;506;1850316;1303
2018;23;507;1850316;1303
2018;22;508;1850316;1303
2018;46;509;1850316;1303
2018;150;510;1850316;1303
2018;38;511;1850316;1303
2018;39;512;1850316;1303
2018;60;501;1850317;1303
2018;33;502;1850317;1303
2018;28;503;1850317;1303
2018;25;504;1850317;1303
2018;126;505;1850317;1303
2018;81;506;1850317;1303
2018;65;507;1850317;1303
2018;27;508;1850317;1303
2018;235;509;1850317;1303
2018;1160;510;1850317;1303
2018;49;511;1850317;1303
2018;42;512;1850317;1303
2018;12;501;1850318;1303
2018;11;502;1850318;1303
2018;428;503;1850318;1303
2018;16;504;1850318;1303
2018;70;505;1850318;1303
2018;187;506;1850318;1303
2018;9;507;1850318;1303
2018;8;508;1850318;1303
2018;27;509;1850318;1303
2018;38;510;1850318;1303
2018;11;511;1850318;1303
2018;720;512;1850318;1303
2018;17;501;1850319;1303
2018;17;502;1850319;1303
2018;18;503;1850319;1303
2018;5;504;1850319;1303
2018;450;505;1850319;1303
2018;762;506;1850319;1303
2018;15;507;1850319;1303
2018;10;508;1850319;1303
2018;17;509;1850319;1303
2018;56;510;1850319;1303
2018;20;511;1850319;1303
2018;41;512;1850319;1303
2018;37;501;1850320;1303
2018;18;502;1850320;1303
2018;8;503;1850320;1303
2018;12;504;1850320;1303
2018;14;505;1850320;1303
2018;9;506;1850320;1303
2018;692;507;1850320;1303
2018;104;508;1850320;1303
2018;33;509;1850320;1303
2018;25;510;1850320;1303
2018;149;511;1850320;1303
2018;19;512;1850320;1303
2018;27;501;1850321;1303
2018;97;502;1850321;1303
2018;9;503;1850321;1303
2018;14;504;1850321;1303
2018;12;505;1850321;1303
2018;14;506;1850321;1303
2018;15;507;1850321;1303
2018;10;508;1850321;1303
2018;23;509;1850321;1303
2018;14;510;1850321;1303
2018;859;511;1850321;1303
2018;17;512;1850321;1303
2018;15;501;1850322;1303
2018;26;502;1850322;1303
2018;14;503;1850322;1303
2018;12;504;1850322;1303
2018;14;505;1850322;1303
2018;19;506;1850322;1303
2018;20;507;1850322;1303
2018;6;508;1850322;1303
2018;16;509;1850322;1303
2018;30;510;1850322;1303
2018;873;511;1850322;1303
2018;19;512;1850322;1303
2018;28;501;1850323;1303
2018;15;502;1850323;1303
2018;10;503;1850323;1303
2018;19;504;1850323;1303
2018;31;505;1850323;1303
2018;84;506;1850323;1303
2018;8;507;1850323;1303
2018;10;508;1850323;1303
2018;647;509;1850323;1303
2018;116;510;1850323;1303
2018;29;511;1850323;1303
2018;30;512;1850323;1303
2018;12;501;1850324;1303
2018;23;502;1850324;1303
2018;8;503;1850324;1303
2018;6;504;1850324;1303
2018;4;505;1850324;1303
2018;6;506;1850324;1303
2018;8;507;1850324;1303
2018;10;508;1850324;1303
2018;12;509;1850324;1303
2018;7;510;1850324;1303
2018;392;511;1850324;1303
2018;8;512;1850324;1303
2018;8127;501;1850401;1304
2018;6160;502;1850401;1304
2018;3770;503;1850401;1304
2018;3603;505;1850401;1304
2018;2715;506;1850401;1304
2018;4342;507;1850401;1304
2018;5652;508;1850401;1304
2018;4936;509;1850401;1304
2018;4167;510;1850401;1304
2018;5127;511;1850401;1304
2018;3080;512;1850401;1304
2018;2922;501;1850402;1304
2018;2358;502;1850402;1304
2018;1450;503;1850402;1304
2018;3310;504;1850402;1304
2018;5436;506;1850402;1304
2018;1875;507;1850402;1304
2018;2589;508;1850402;1304
2018;2075;509;1850402;1304
2018;2617;510;1850402;1304
2018;2028;511;1850402;1304
2018;1313;512;1850402;1304
2018;1502;502;1850403;1304
2018;891;503;1850403;1304
2018;949;504;1850403;1304
2018;1500;505;1850403;1304
2018;525;506;1850403;1304
2018;932;507;1850403;1304
2018;1118;508;1850403;1304
2018;5161;509;1850403;1304
2018;1608;510;1850403;1304
2018;1257;511;1850403;1304
2018;673;512;1850403;1304
2018;703;501;1850404;1304
2018;476;502;1850404;1304
2018;349;503;1850404;1304
2018;564;504;1850404;1304
2018;731;505;1850404;1304
2018;249;506;1850404;1304
2018;458;507;1850404;1304
2018;522;508;1850404;1304
2018;1268;510;1850404;1304
2018;446;511;1850404;1304
2018;246;512;1850404;1304
2018;1206;501;1850405;1304
2018;994;502;1850405;1304
2018;983;504;1850405;1304
2018;1098;505;1850405;1304
2018;602;506;1850405;1304
2018;438;507;1850405;1304
2018;584;508;1850405;1304
2018;1023;509;1850405;1304
2018;690;510;1850405;1304
2018;832;511;1850405;1304
2018;3019;512;1850405;1304
2018;459;501;1850406;1304
2018;247;502;1850406;1304
2018;162;503;1850406;1304
2018;144;504;1850406;1304
2018;225;505;1850406;1304
2018;111;506;1850406;1304
2018;1257;507;1850406;1304
2018;298;509;1850406;1304
2018;311;510;1850406;1304
2018;313;511;1850406;1304
2018;128;512;1850406;1304
2018;804;501;1850407;1304
2018;311;503;1850407;1304
2018;723;504;1850407;1304
2018;121;505;1850407;1304
2018;54;506;1850407;1304
2018;95;507;1850407;1304
2018;200;508;1850407;1304
2018;214;509;1850407;1304
2018;69;510;1850407;1304
2018;257;511;1850407;1304
2018;80;512;1850407;1304
2018;322;501;1850408;1304
2018;280;502;1850408;1304
2018;194;503;1850408;1304
2018;176;504;1850408;1304
2018;223;505;1850408;1304
2018;161;506;1850408;1304
2018;613;508;1850408;1304
2018;185;509;1850408;1304
2018;199;510;1850408;1304
2018;666;511;1850408;1304
2018;167;512;1850408;1304
2018;191;501;1850409;1304
2018;579;502;1850409;1304
2018;146;503;1850409;1304
2018;108;504;1850409;1304
2018;116;505;1850409;1304
2018;50;506;1850409;1304
2018;69;507;1850409;1304
2018;117;508;1850409;1304
2018;126;509;1850409;1304
2018;85;510;1850409;1304
2018;200;512;1850409;1304
2018;342;501;1850410;1304
2018;320;502;1850410;1304
2018;183;503;1850410;1304
2018;241;504;1850410;1304
2018;237;505;1850410;1304
2018;121;506;1850410;1304
2018;210;507;1850410;1304
2018;317;508;1850410;1304
2018;335;509;1850410;1304
2018;191;511;1850410;1304
2018;140;512;1850410;1304
2018;111;501;1850411;1304
2018;103;502;1850411;1304
2018;41;503;1850411;1304
2018;52;504;1850411;1304
2018;113;505;1850411;1304
2018;61;507;1850411;1304
2018;109;508;1850411;1304
2018;64;509;1850411;1304
2018;35;510;1850411;1304
2018;42;511;1850411;1304
2018;158;512;1850411;1304
2018;147;501;1850412;1304
2018;113;502;1850412;1304
2018;151;503;1850412;1304
2018;94;504;1850412;1304
2018;141;505;1850412;1304
2018;203;506;1850412;1304
2018;93;507;1850412;1304
2018;87;508;1850412;1304
2018;124;509;1850412;1304
2018;138;510;1850412;1304
2018;133;511;1850412;1304
2018;578;501;1850413;1304
2018;465;502;1850413;1304
2018;296;503;1850413;1304
2018;306;504;1850413;1304
2018;533;505;1850413;1304
2018;1996;506;1850413;1304
2018;312;507;1850413;1304
2018;412;508;1850413;1304
2018;405;509;1850413;1304
2018;334;510;1850413;1304
2018;382;511;1850413;1304
2018;340;512;1850413;1304
2018;405;501;1850414;1304
2018;339;502;1850414;1304
2018;229;503;1850414;1304
2018;163;504;1850414;1304
2018;2405;505;1850414;1304
2018;289;506;1850414;1304
2018;222;507;1850414;1304
2018;313;508;1850414;1304
2018;317;509;1850414;1304
2018;363;510;1850414;1304
2018;290;511;1850414;1304
2018;224;512;1850414;1304
2018;318;501;1850415;1304
