WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;501;502;503;504;505;506;507;508;509;510;511;512
5;4;18;Neunhoeffer, Klaus;18;18;2.657;2.657;105;81;1.393;66;59;54;33;62;160;46;299;299
5;4;19;Peucker-Göbel, Karin;21;19;2.449;2.449;136;88;69;57;132;42;1.147;221;109;290;99;59
5;4;20;Hammer, Eva;17;20;2.142;2.142;121;88;44;73;100;38;531;858;101;85;63;40
5;4;21;Herling, Anja;19;21;1.700;1.700;418;348;159;268;42;27;60;70;93;47;121;47
5;4;22;Aurnhammer, Tom;20;22;1.498;1.498;141;90;69;70;77;162;43;56;105;40;69;576
5;4;23;Reichel, René;24;23;1.335;1.335;281;241;134;180;65;33;53;46;89;57;99;57
5;4;24;Romstoeck, Isa;23;24;1.152;1.152;239;174;77;212;47;28;63;63;77;49;89;34
5;5;1;Fischbach, Matthias;1;1;15.918;12.151;1.531;1.362;794;687;921;788;1.750;3.767;1.377;1.222;982;737
5;5;2;Dunker, Dr. Jan;3;2;7.795;3.291;4.504;570;308;370;188;117;160;554;501;184;210;129
5;5;3;Hanel, Alexander;2;3;6.175;3.117;164;191;109;78;3.058;498;114;1.362;177;190;135;99
5;5;4;Sormaz, Ümit;4;4;5.157;2.688;661;398;311;2.469;134;80;147;283;266;129;167;112
5;5;5;Eichmann, Stephan;15;5;4.989;682;103;78;42;49;53;27;49;68;4.307;140;34;39
5;5;6;Neuner, Andreas;7;6;3.939;638;78;3.301;33;25;52;31;22;39;40;30;260;28
5;5;7;Ekrem, Boulent;13;7;3.572;587;50;46;34;123;44;17;2.985;125;51;45;31;21
5;5;8;Scharf, Luca;6;8;3.492;490;47;114;37;40;42;30;36;41;29;38;3.002;36
5;5;9;Fleischer, Franz;17;9;3.339;455;28;25;15;15;16;9;10;12;304;2.884;8;13
5;5;10;List, Bernd;23;10;3.138;513;54;51;2.625;47;35;55;14;28;26;26;24;153
5;5;11;Stromberger, Stefan;9;11;3.117;446;45;51;95;28;36;23;24;28;34;18;64;2.671
5;5;12;Bartram, Gabriele;11;12;3.049;610;70;52;37;39;105;2.439;44;49;57;48;44;65
5;5;13;Ahrens, Nils;18;13;1.853;1.853;149;119;58;71;54;57;186;807;118;107;71;56
5;5;14;Mathes, Johanna;5;14;1.628;1.628;143;81;67;92;101;65;65;113;569;197;72;63
5;5;15;Kumar, Dr. Walburga;10;15;1.519;1.519;134;64;97;74;68;160;48;94;75;62;50;593
5;5;16;Rißmann, Daniela;8;16;1.112;1.112;91;109;66;84;68;81;57;72;80;71;281;52
5;5;17;Rotermund-Fritsche, Dr. Annette;12;17;1.062;1.062;320;134;74;114;49;47;47;98;67;37;46;29
5;5;18;Lerchenfeld Freiherr von, Carl Heimeran;20;18;899;899;42;39;32;21;169;47;29;47;39;351;49;34
5;5;19;Eipper, Dr. Christoph;21;19;891;891;174;139;83;105;43;31;37;71;65;45;48;50
5;5;20;Endres, Sabine;16;20;706;706;20;26;18;24;291;64;29;25;43;115;21;30
5;5;21;Meier, Agnes;14;21;409;409;29;24;19;30;23;28;18;33;128;32;20;25
5;5;22;Heußer, Edith;24;22;366;366;58;50;47;45;20;24;16;16;25;20;22;23
5;5;23;Markert, Ralf;22;23;361;361;13;8;5;8;10;16;200;32;10;40;7;12
5;5;24;Meding von, Sebastian;19;24;263;263;30;92;11;12;6;6;10;15;15;10;46;10
5;6;1;Haupt, Niklas;1;1;17.384;11.680;1.920;1.285;802;1.069;793;722;777;1.221;5.704;1.440;961;690
5;6;2;Pihan, Debora;2;2;11.499;7.344;1.182;847;570;4.155;382;266;362;600;1.908;379;520;328
5;6;3;Fesli, Gizem;3;3;7.360;2.145;5.215;385;199;623;66;55;69;119;310;101;135;83
5;6;4;Halla, Uwe;4;4;6.314;2.164;429;4.150;205;294;76;78;125;174;354;140;205;84
5;6;5;Eitel, Lukas;8;5;4.383;2.030;168;153;90;147;84;81;2.353;764;224;113;125;81
5;6;6;Gerbig, Stefan;6;6;4.266;1.353;270;333;2.913;283;41;35;27;43;145;46;74;56
5;6;7;Beuckert, Michael;12;7;4.164;815;79;63;50;87;3.349;147;43;52;70;108;51;65
5;6;8;Salzbrunn, Anton;14;8;4.094;591;35;45;28;39;22;13;288;3.503;53;22;32;14
5;6;9;Wiedmann, René;16;9;3.482;431;53;89;25;47;22;13;33;27;69;27;3.051;26
5;6;10;Rettlinger, Heinz;24;10;3.174;489;39;44;35;36;76;2.685;17;29;42;65;49;57
5;6;11;Förster, Henry;18;11;3.009;96;10;5;5;6;10;5;27;5;14;2.913;6;3
5;6;12;Trenkner, Sibylle;7;12;2.519;2.519;227;160;97;143;756;337;104;102;163;189;138;103
5;6;13;Schwarz, Tino;22;13;2.194;195;21;17;19;21;7;42;11;13;18;10;16;1.999
5;6;14;Weinberg, Harald;10;14;2.002;2.002;160;142;88;110;780;199;42;72;145;111;84;69
5;6;15;Müller, Heidi;19;15;1.565;1.565;116;105;94;153;120;162;118;94;175;242;120;66
5;6;16;Greim, Mechthild;11;16;1.332;1.332;262;184;133;219;54;42;52;67;147;50;72;50
5;6;17;Schönweiß, Ulrich;20;17;1.219;1.219;150;102;64;116;38;28;35;56;475;57;64;34
5;6;18;Mayer, Anna;23;18;1.194;1.194;211;138;99;163;57;53;53;96;141;40;77;66
5;6;19;Lüdemann, Angelika;5;19;914;914;173;124;89;146;30;33;38;36;93;32;81;39
