jahr;stimmen;stimmkreis;kandidat;partei
2018;5278;402;1840206;1302
2018;4029;401;1840208;1302
2018;4508;405;1840209;1302
2018;17330;405;1840301;1303
2018;11243;408;1840302;1303
2018;10804;403;1840303;1303
2018;8681;407;1840304;1303
2018;6441;401;1840305;1303
2018;5467;404;1840307;1303
2018;5559;406;1840309;1303
2018;3665;402;1840311;1303
2018;13038;402;1840401;1304
2018;13023;403;1840402;1304
2018;9763;405;1840403;1304
2018;7943;407;1840404;1304
2018;8259;401;1840405;1304
2018;9529;404;1840407;1304
2018;8217;408;1840409;1304
2018;6209;406;1840410;1304
2018;3324;405;1840501;1305
2018;3067;402;1840502;1305
2018;3859;403;1840503;1305
2018;3199;408;1840504;1305
2018;2804;404;1840505;1305
2018;2983;407;1840507;1305
2018;2992;401;1840508;1305
2018;2891;406;1840509;1305
2018;2582;402;1840601;1306
2018;1587;401;1840602;1306
2018;2454;403;1840603;1306
2018;2160;404;1840604;1306
2018;2140;406;1840605;1306
2018;2259;408;1840606;1306
2018;1812;407;1840607;1306
2018;1836;405;1840609;1306
2018;561;406;1840701;1307
2018;1201;408;1840702;1307
2018;1108;401;1840703;1307
2018;763;407;1840704;1307
2018;679;403;1840705;1307
2018;729;405;1840706;1307
2018;601;402;1840707;1307
2018;527;404;1840708;1307
2018;1335;407;1840801;1308
2018;796;402;1840802;1308
2018;1112;404;1840803;1308
2018;834;401;1840804;1308
2018;645;405;1840805;1308
2018;631;408;1840806;1308
2018;674;403;1840807;1308
2018;378;406;1840808;1308
2018;445;406;1840901;1309
2018;517;407;1840902;1309
2018;6993;404;1841101;1311
2018;7146;402;1841102;1311
2018;9230;401;1841103;1311
2018;9290;406;1841104;1311
2018;10408;408;1841105;1311
2018;8342;407;1841106;1311
2018;8349;403;1841107;1311
2018;6924;405;1841108;1311
2018;706;408;1841301;1313
2018;607;403;1841302;1313
2018;294;402;1841303;1313
2018;1010;403;1841502;1315
2018;785;402;1841503;1315
2018;751;406;1841504;1315
2018;386;406;1841601;1316
2018;498;403;1841801;1318
2018;38538;303;1830101;1301
2018;36647;304;1830102;1301
2018;25614;305;1830103;1301
2018;30621;306;1830104;1301
2018;30879;301;1830105;1301
2018;31438;302;1830106;1301
2018;28618;307;1830107;1301
2018;24090;308;1830108;1301
2018;8994;308;1830201;1302
2018;9803;305;1830202;1302
2018;11084;301;1830203;1302
2018;9353;306;1830204;1302
2018;6033;307;1830205;1302
2018;6321;304;1830206;1302
2018;4617;303;1830208;1302
2018;3820;302;1830209;1302
2018;13197;306;1830301;1303
2018;17457;304;1830302;1303
2018;9842;305;1830303;1303
2018;12204;302;1830304;1303
2018;11021;301;1830305;1303
2018;9776;303;1830307;1303
2018;8827;307;1830308;1303
2018;6273;308;1830309;1303
2018;22494;305;1830401;1304
2018;4987;307;1830402;1304
2018;11536;304;1830403;1304
2018;8843;301;1830404;1304
2018;6042;308;1830405;1304
2018;8725;303;1830406;1304
2018;5179;302;1830407;1304
2018;6355;306;1830408;1304
2018;2879;308;1830501;1305
2018;4549;305;1830502;1305
2018;3270;304;1830503;1305
2018;2638;302;1830505;1305
2018;2268;303;1830506;1305
2018;2808;301;1830507;1305
2018;2451;306;1830508;1305
2018;1544;307;1830509;1305
2018;1618;302;1830601;1306
2018;2327;304;1830602;1306
2018;4502;305;1830603;1306
2018;2472;306;1830604;1306
2018;2722;301;1830605;1306
2018;2009;303;1830606;1306
2018;1728;308;1830607;1306
2018;1424;307;1830608;1306
2018;1146;305;1830701;1307
2018;1491;307;1830702;1307
2018;1041;308;1830703;1307
2018;2066;306;1830704;1307
2018;1925;301;1830705;1307
2018;1829;302;1830706;1307
2018;1742;304;1830707;1307
2018;1482;303;1830708;1307
2018;1887;301;1830801;1308
2018;2086;305;1830802;1308
2018;1204;308;1830803;1308
2018;1810;304;1830804;1308
2018;1915;306;1830805;1308
2018;1241;303;1830806;1308
2018;784;307;1830807;1308
2018;773;302;1830810;1308
2018;657;305;1830901;1309
2018;354;308;1830902;1309
2018;382;306;1830903;1309
2018;7928;308;1831101;1311
2018;6675;307;1831102;1311
2018;8523;305;1831103;1311
2018;9374;301;1831104;1311
2018;11549;304;1831105;1311
2018;11616;302;1831106;1311
2018;11741;306;1831107;1311
2018;7624;303;1831108;1311
2018;553;305;1831301;1313
2018;438;304;1831302;1313
2018;906;305;1831502;1315
2018;299;303;1831601;1316
2018;236;302;1831801;1318
2018;262;304;1831802;1318
2018;25798;709;1870101;1301
2018;33903;705;1870102;1301
2018;25164;708;1870103;1301
2018;24195;702;1870104;1301
2018;30414;711;1870105;1301
2018;25006;713;1870106;1301
2018;33632;706;1870107;1301
2018;31451;704;1870108;1301
2018;29661;710;1870109;1301
2018;27251;712;1870110;1301
2018;31895;703;1870111;1301
2018;24915;707;1870113;1301
2018;21976;701;1870114;1301
2018;7696;702;1870201;1302
2018;5785;703;1870202;1302
2018;5755;711;1870203;1302
2018;7490;701;1870204;1302
2018;6687;705;1870205;1302
2018;4231;709;1870206;1302
2018;7112;706;1870207;1302
2018;7233;713;1870208;1302
2018;5013;704;1870209;1302
2018;4445;712;1870210;1302
2018;4514;710;1870211;1302
2018;3175;708;1870212;1302
2018;3850;707;1870213;1302
2018;16189;709;1870301;1303
2018;13669;710;1870302;1303
2018;9943;705;1870303;1303
2018;13999;704;1870304;1303
2018;9644;708;1870305;1303
2018;7805;707;1870306;1303
2018;8036;713;1870307;1303
2018;9054;711;1870308;1303
